,human_count,human_weight,human_panic,human_speed,Run,Total_steps
495,49,2.501953125,3.1650390625,1.611328125,495,24
496,18,2.380859375,3.1650390625,1.611328125,496,11
497,18,2.501953125,3.8486328125,1.611328125,497,10
498,18,2.501953125,3.1650390625,2.916015625,498,11
499,18,2.501953125,3.1650390625,1.611328125,499,12
500,25,1.193359375,3.6298828125,2.353515625,500,17
501,29,1.193359375,3.6298828125,2.353515625,501,19
502,25,2.814453125,3.6298828125,2.353515625,502,14
503,25,1.193359375,0.3212890625,2.353515625,503,17
504,25,1.193359375,3.6298828125,2.798828125,504,17
505,25,2.814453125,0.3212890625,2.798828125,505,15
506,29,1.193359375,0.3212890625,2.798828125,506,15
507,29,2.814453125,3.6298828125,2.798828125,507,15
508,29,2.814453125,0.3212890625,2.353515625,508,15
509,29,2.814453125,0.3212890625,2.798828125,509,17
510,60,2.193359375,0.1298828125,1.353515625,510,24
511,64,2.193359375,0.1298828125,1.353515625,511,28
512,60,1.814453125,0.1298828125,1.353515625,512,25
513,60,2.193359375,3.8212890625,1.353515625,513,22
